dataset,task,model,metric,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,single_script,performance_loss_pct,3.636419178383341,0.5487207524353274,6.808371019270288,0.0218,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,rrf_equal,performance_loss_pct,-0.4692971657958929,-3.5673253333071453,2.701413155699396,0.767,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,single_distals_asjp,performance_loss_pct,-1.0479629225978864,-4.0336620533835115,1.8746700634483142,0.48,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,single_distals_wiki_size,performance_loss_pct,-3.5853027189750892,-7.102378403473155,-0.08967946771577903,0.0447,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,single_new_gen,performance_loss_pct,-2.647618940217543,-5.738381717415946,0.4226802183871504,0.0919,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,single_new_geo,performance_loss_pct,0.02401654694999138,-3.1264183974023267,3.2057554995121142,0.9942,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,single_new_typ,performance_loss_pct,-2.6053026451927352,-5.784214964816148,0.6387411925381361,0.1167,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,single_script,performance_loss_pct,1.758441088360255,-0.5624685765372032,4.163382367118475,0.1475,185
sib200_mt5,sib200,mt5,f1_score,rrf_equal,single_distals_asjp,performance_loss_pct,-0.5786657568019928,-3.573398841204867,2.343210258651736,0.6988,185
sib200_mt5,sib200,mt5,f1_score,rrf_equal,single_distals_wiki_size,performance_loss_pct,-3.116005553179197,-6.900536604636294,0.649928938955271,0.1052,185
sib200_mt5,sib200,mt5,f1_score,rrf_equal,single_new_gen,performance_loss_pct,-2.1783217744216503,-5.377247030737013,0.9194047782369129,0.1705,185
sib200_mt5,sib200,mt5,f1_score,rrf_equal,single_new_geo,performance_loss_pct,0.4933137127458844,-2.305022901414856,3.2787637948198056,0.7345,185
